ContestId,Contest,Candidate_IssueId,Candidate_Issue,Party,PrecinctCode,PrecinctName,EarlyVotes,MailBallotsVotes,ElectionDateVotes,ProvisionalVotes,TotalVotes
6308,MAYOR,25943,Alvin Brown,DEM,1212,Precinct 1212,434,92,425,1,952
6308,MAYOR,25943,Alvin Brown,DEM,1213,Precinct 1213,266,104,276,0,646
6308,MAYOR,25943,Alvin Brown,DEM,1301,Precinct 1301,74,123,182,0,379
6308,MAYOR,25943,Alvin Brown,DEM,1302,Precinct 1302,59,51,169,0,279
6308,MAYOR,25943,Alvin Brown,DEM,1303,Precinct 1303,52,75,109,0,236
6308,MAYOR,25943,Alvin Brown,DEM,1304,Precinct 1304,99,85,120,0,304
6308,MAYOR,25943,Alvin Brown,DEM,1305,Precinct 1305,146,69,124,1,340
6308,MAYOR,25943,Alvin Brown,DEM,1306,Precinct 1306,129,88,188,0,405
6308,MAYOR,25943,Alvin Brown,DEM,1307,Precinct 1307,175,167,144,0,486
6308,MAYOR,25943,Alvin Brown,DEM,1308,Precinct 1308,146,99,190,1,436
6308,MAYOR,25943,Alvin Brown,DEM,1309,Precinct 1309,128,69,128,0,325
6308,MAYOR,25943,Alvin Brown,DEM,1310,Precinct 1310,86,69,103,1,259
6308,MAYOR,25943,Alvin Brown,DEM,1311,Precinct 1311,74,89,148,0,311
6308,MAYOR,25943,Alvin Brown,DEM,1312,Precinct 1312,59,43,143,0,245
6308,MAYOR,25943,Alvin Brown,DEM,1313,Precinct 1313,116,141,142,0,399
6308,MAYOR,25943,Alvin Brown,DEM,1314,Precinct 1314,10,13,16,0,39
6308,MAYOR,25943,Alvin Brown,DEM,1315,Precinct 1315,122,102,228,1,453
6308,MAYOR,25943,Alvin Brown,DEM,1401,Precinct 1401,102,62,191,0,355
6308,MAYOR,25943,Alvin Brown,DEM,1402,Precinct 1402,198,62,208,1,469
6308,MAYOR,25943,Alvin Brown,DEM,1403,Precinct 1403,160,59,156,0,375
6308,MAYOR,25943,Alvin Brown,DEM,1404,Precinct 1404,237,188,473,0,898
6308,MAYOR,25943,Alvin Brown,DEM,1405,Precinct 1405,102,79,190,0,371
6308,MAYOR,25943,Alvin Brown,DEM,1406,Precinct 1406,84,46,109,0,239
6308,MAYOR,25943,Alvin Brown,DEM,1407,Precinct 1407,59,67,203,0,329
6308,MAYOR,25943,Alvin Brown,DEM,1408,Precinct 1408,72,90,203,1,366
6308,MAYOR,25943,Alvin Brown,DEM,1409,Precinct 1409,133,96,212,0,441
6308,MAYOR,25943,Alvin Brown,DEM,1410,Precinct 1410,199,110,341,0,650
6308,MAYOR,25943,Alvin Brown,DEM,1411,Precinct 1411,148,159,355,0,662
6308,MAYOR,25943,Alvin Brown,DEM,1412,Precinct 1412,114,92,191,0,397
6308,MAYOR,25943,Alvin Brown,DEM,1413,Precinct 1413,217,146,420,0,783
6308,MAYOR,25943,Alvin Brown,DEM,1414,Precinct 1414,62,41,103,0,206
6308,MAYOR,25943,Alvin Brown,DEM,1415,Precinct 1415,100,126,225,2,453
6308,MAYOR,25944,Lenny Curry,REP,101,101,111,120,287,0,518
6308,MAYOR,25944,Lenny Curry,REP,102,102,112,101,128,0,341
6308,MAYOR,25944,Lenny Curry,REP,103,103,66,60,203,0,329
6308,MAYOR,25944,Lenny Curry,REP,104,104,103,135,231,0,469
6308,MAYOR,25944,Lenny Curry,REP,105,105,208,248,436,1,893
6308,MAYOR,25944,Lenny Curry,REP,106,106,283,206,358,0,847
6308,MAYOR,25944,Lenny Curry,REP,107,107,33,56,90,1,180
6308,MAYOR,25944,Lenny Curry,REP,108,108,89,138,270,0,497
6308,MAYOR,25944,Lenny Curry,REP,109,109,44,79,156,0,279
6308,MAYOR,25944,Lenny Curry,REP,110,110,114,185,314,0,613
6308,MAYOR,25944,Lenny Curry,REP,111,111,194,182,333,0,709
6308,MAYOR,25944,Lenny Curry,REP,112,112,67,75,51,0,193
6308,MAYOR,25944,Lenny Curry,REP,113,113,233,267,455,1,956
6308,MAYOR,25944,Lenny Curry,REP,114,114,28,60,81,0,169
6308,MAYOR,25944,Lenny Curry,REP,201,201,215,284,438,0,937
6308,MAYOR,25944,Lenny Curry,REP,202,202,206,276,466,0,948
6308,MAYOR,25944,Lenny Curry,REP,203,203,170,205,342,0,717
6308,MAYOR,25944,Lenny Curry,REP,204,204,147,200,379,0,726
6308,MAYOR,25944,Lenny Curry,REP,205,205,345,407,855,1,1608
6308,MAYOR,25944,Lenny Curry,REP,206,206,278,417,883,0,1578
6308,MAYOR,25944,Lenny Curry,REP,207,207,231,317,478,0,1026
6308,MAYOR,25944,Lenny Curry,REP,208,208,159,202,500,0,861
6308,MAYOR,25944,Lenny Curry,REP,209,209,128,182,504,0,814
6308,MAYOR,25944,Lenny Curry,REP,210,210,22,22,81,0,125
6308,MAYOR,25944,Lenny Curry,REP,211,211,185,260,502,0,947
6308,MAYOR,25944,Lenny Curry,REP,212,212,27,38,174,0,239
6308,MAYOR,25944,Lenny Curry,REP,213,213,67,153,279,0,499
6308,MAYOR,25944,Lenny Curry,REP,301,301,119,217,396,0,732
6308,MAYOR,25944,Lenny Curry,REP,302,302,75,95,278,0,448
6308,MAYOR,25944,Lenny Curry,REP,303,303,185,212,483,0,880
6308,MAYOR,25944,Lenny Curry,REP,304,304,147,225,348,0,720
6308,MAYOR,25944,Lenny Curry,REP,305,305,260,334,464,1,1059
6308,MAYOR,25944,Lenny Curry,REP,306,306,147,156,162,0,465
6308,MAYOR,25944,Lenny Curry,REP,307,307,82,103,139,0,324
6308,MAYOR,25944,Lenny Curry,REP,308,308,49,91,308,0,448
6308,MAYOR,25944,Lenny Curry,REP,309,309,146,133,268,1,548
6308,MAYOR,25944,Lenny Curry,REP,310,310,116,329,235,0,680
6308,MAYOR,25944,Lenny Curry,REP,311,311,114,175,308,0,597
6308,MAYOR,25944,Lenny Curry,REP,312,312,387,365,401,0,1153
6308,MAYOR,25944,Lenny Curry,REP,313,313,185,205,406,0,796
6308,MAYOR,25944,Lenny Curry,REP,315,315,42,74,197,0,313
6308,MAYOR,25944,Lenny Curry,REP,401,401,35,99,202,0,336
6308,MAYOR,25944,Lenny Curry,REP,402,402,132,182,241,0,555
6308,MAYOR,25944,Lenny Curry,REP,403,403,179,271,347,0,797
6308,MAYOR,25944,Lenny Curry,REP,404,404,161,246,564,3,974
6308,MAYOR,25944,Lenny Curry,REP,405,405,45,72,141,0,258
6308,MAYOR,25944,Lenny Curry,REP,407,407,256,317,460,2,1035
6308,MAYOR,25944,Lenny Curry,REP,408,408,160,298,543,1,1002
6308,MAYOR,25944,Lenny Curry,REP,409,409,70,188,332,2,592
6308,MAYOR,25944,Lenny Curry,REP,410,410,164,190,296,1,651
6308,MAYOR,25944,Lenny Curry,REP,411,411,136,223,252,0,611
6308,MAYOR,25944,Lenny Curry,REP,412,412,71,85,60,0,216
6308,MAYOR,25944,Lenny Curry,REP,501,501,214,217,262,0,693
6308,MAYOR,25944,Lenny Curry,REP,502,502,37,59,97,0,193
6308,MAYOR,25944,Lenny Curry,REP,503,503,21,38,69,0,128
6308,MAYOR,25944,Lenny Curry,REP,504,504,121,130,330,0,581
6308,MAYOR,25944,Lenny Curry,REP,505,505,183,186,530,0,899
6308,MAYOR,25944,Lenny Curry,REP,506,506,119,228,307,0,654
6308,MAYOR,25944,Lenny Curry,REP,507,507,57,66,122,0,245
6308,MAYOR,25944,Lenny Curry,REP,508,508,255,455,671,1,1382
6308,MAYOR,25944,Lenny Curry,REP,509,509,318,386,474,0,1178
6308,MAYOR,25944,Lenny Curry,REP,510,510,281,256,469,1,1007
6308,MAYOR,25944,Lenny Curry,REP,511,511,49,146,252,2,449
6308,MAYOR,25944,Lenny Curry,REP,512,512,209,224,294,1,728
6308,MAYOR,25944,Lenny Curry,REP,513,513,61,179,282,1,523
6308,MAYOR,25944,Lenny Curry,REP,601,601,454,225,452,0,1131
6308,MAYOR,25944,Lenny Curry,REP,602,602,239,237,466,0,942
6308,MAYOR,25944,Lenny Curry,REP,603,603,446,389,417,0,1252
6308,MAYOR,25944,Lenny Curry,REP,604,604,233,170,277,0,680
6308,MAYOR,25944,Lenny Curry,REP,605,605,507,311,501,0,1319
6308,MAYOR,25944,Lenny Curry,REP,606,606,715,419,521,0,1655
6308,MAYOR,25944,Lenny Curry,REP,607,607,119,159,189,1,468
6308,MAYOR,25944,Lenny Curry,REP,608,608,392,397,484,2,1275
6308,MAYOR,25944,Lenny Curry,REP,609,609,69,119,183,0,371
6308,MAYOR,25944,Lenny Curry,REP,610,610,407,332,673,0,1412
6308,MAYOR,25944,Lenny Curry,REP,611,611,145,166,189,0,500
6308,MAYOR,25944,Lenny Curry,REP,612,612,264,284,431,0,979
6308,MAYOR,25944,Lenny Curry,REP,613,613,133,159,378,0,670
6308,MAYOR,25944,Lenny Curry,REP,614,614,71,74,176,0,321
6308,MAYOR,25944,Lenny Curry,REP,701,701,23,53,61,0,137
6308,MAYOR,25944,Lenny Curry,REP,702,702,10,23,49,0,82
6308,MAYOR,25944,Lenny Curry,REP,703,703,265,287,524,0,1076
6308,MAYOR,25944,Lenny Curry,REP,704,704,36,34,77,0,147
6308,MAYOR,25944,Lenny Curry,REP,705,705,136,132,265,0,533
6308,MAYOR,25944,Lenny Curry,REP,706,706,2,2,7,0,11
6308,MAYOR,25944,Lenny Curry,REP,707,707,21,25,25,0,71
6308,MAYOR,25944,Lenny Curry,REP,708,708,2,13,19,0,34
6308,MAYOR,25944,Lenny Curry,REP,709,709,26,24,26,0,76
6308,MAYOR,25944,Lenny Curry,REP,710,710,49,49,41,0,139
6308,MAYOR,25944,Lenny Curry,REP,711,711,2,13,9,0,24
6308,MAYOR,25944,Lenny Curry,REP,712,712,19,25,35,0,79
6308,MAYOR,25944,Lenny Curry,REP,713,713,60,101,56,0,217
6308,MAYOR,25944,Lenny Curry,REP,714,714,10,17,11,0,38
6308,MAYOR,25944,Lenny Curry,REP,801,801,32,38,71,0,141
6308,MAYOR,25944,Lenny Curry,REP,802,802,6,18,2,0,26
6308,MAYOR,25944,Lenny Curry,REP,803,803,91,98,118,1,308
6308,MAYOR,25944,Lenny Curry,REP,804,804,52,75,137,1,265
6308,MAYOR,25944,Lenny Curry,REP,805,805,38,68,70,0,176
6308,MAYOR,25944,Lenny Curry,REP,806,806,1,0,5,0,6
6308,MAYOR,25944,Lenny Curry,REP,807,807,8,5,4,0,17
6308,MAYOR,25944,Lenny Curry,REP,808,808,10,2,3,0,15
6308,MAYOR,25944,Lenny Curry,REP,809,809,6,8,1,0,15
6308,MAYOR,25944,Lenny Curry,REP,810,810,89,79,293,0,461
6308,MAYOR,25944,Lenny Curry,REP,811,811,2,5,7,0,14
6308,MAYOR,25944,Lenny Curry,REP,812,812,1,4,8,0,13
6308,MAYOR,25944,Lenny Curry,REP,813,813,200,251,367,0,818
6308,MAYOR,25944,Lenny Curry,REP,814,814,212,228,611,1,1052
6308,MAYOR,25944,Lenny Curry,REP,815,815,5,4,5,0,14
6308,MAYOR,25944,Lenny Curry,REP,816,816,6,9,20,0,35
6308,MAYOR,25944,Lenny Curry,REP,817,817,77,122,202,0,401
6308,MAYOR,25944,Lenny Curry,REP,818,818,24,28,55,0,107
6308,MAYOR,25944,Lenny Curry,REP,901,901,72,78,126,0,276
6308,MAYOR,25944,Lenny Curry,REP,902,902,6,6,15,0,27
6308,MAYOR,25944,Lenny Curry,REP,903,903,86,123,193,0,402
6308,MAYOR,25944,Lenny Curry,REP,904,904,6,5,10,0,21
6308,MAYOR,25944,Lenny Curry,REP,905,905,68,96,88,0,252
6308,MAYOR,25944,Lenny Curry,REP,906,906,73,115,159,0,347
6308,MAYOR,25944,Lenny Curry,REP,907,907,67,100,218,0,385
6308,MAYOR,25944,Lenny Curry,REP,908,908,91,114,187,1,393
6308,MAYOR,25944,Lenny Curry,REP,909,909,2,7,5,0,14
6308,MAYOR,25944,Lenny Curry,REP,910,910,7,45,14,0,66
6308,MAYOR,25944,Lenny Curry,REP,911,911,31,84,75,0,190
6308,MAYOR,25944,Lenny Curry,REP,912,912,2,3,5,0,10
6308,MAYOR,25944,Lenny Curry,REP,913,913,47,71,107,0,225
6308,MAYOR,25944,Lenny Curry,REP,914,914,104,163,184,0,451
6308,MAYOR,25944,Lenny Curry,REP,1001,Precinct 1001,20,18,23,0,61
6308,MAYOR,25944,Lenny Curry,REP,1002,Precinct 1002,4,9,7,0,20
6308,MAYOR,25944,Lenny Curry,REP,1003,Precinct 1003,8,7,14,0,29
6308,MAYOR,25944,Lenny Curry,REP,1004,Precinct 1004,12,10,11,0,33
6308,MAYOR,25944,Lenny Curry,REP,1005,Precinct 1005,16,16,16,0,48
6308,MAYOR,25944,Lenny Curry,REP,1006,Precinct 1006,37,65,178,0,280
6308,MAYOR,25944,Lenny Curry,REP,1007,Precinct 1007,39,104,129,0,272
6308,MAYOR,25944,Lenny Curry,REP,1008,Precinct 1008,114,125,170,0,409
6308,MAYOR,25944,Lenny Curry,REP,1009,Precinct 1009,94,143,170,0,407
6308,MAYOR,25944,Lenny Curry,REP,1010,Precinct 1010,106,100,233,0,439
6308,MAYOR,25944,Lenny Curry,REP,1011,Precinct 1011,50,104,147,0,301
6308,MAYOR,25944,Lenny Curry,REP,1012,Precinct 1012,57,68,96,0,221
6308,MAYOR,25944,Lenny Curry,REP,1013,Precinct 1013,60,96,172,0,328
6308,MAYOR,25944,Lenny Curry,REP,1014,Precinct 1014,118,138,221,0,477
6308,MAYOR,25944,Lenny Curry,REP,1015,Precinct 1015,85,107,218,0,410
6308,MAYOR,25944,Lenny Curry,REP,1016,Precinct 1016,46,33,107,0,186
6308,MAYOR,25944,Lenny Curry,REP,1101,Precinct 1101,34,61,137,0,232
6308,MAYOR,25944,Lenny Curry,REP,1102,Precinct 1102,6,31,99,0,136
6308,MAYOR,25944,Lenny Curry,REP,1103,Precinct 1103,118,194,352,0,664
6308,MAYOR,25944,Lenny Curry,REP,1104,Precinct 1104,93,195,207,0,495
6308,MAYOR,25944,Lenny Curry,REP,1105,Precinct 1105,97,123,224,1,445
6308,MAYOR,25944,Lenny Curry,REP,1106,Precinct 1106,306,509,425,0,1240
